dataset,method,seed,task,elapsed_sec,metric_accuracy,metric_f1,metric_precision,metric_recall,metric_roc_auc,metric_mae,metric_rmse,metric_r2
AMES,RF,42,classification,4.96,0.699382292381606,0.7312883435582822,0.6629588431590656,0.8153214774281806,0.7897988716916711,,,
AMES,RF,123,classification,4.94,0.7137954701441318,0.7405102675793404,0.6854838709677419,0.8051420838971584,0.7927241133655735,,,
AMES,RF,7,classification,5.06,0.7014413177762526,0.7269303201506592,0.666283084004603,0.7997237569060773,0.7946888213879236,,,
AMES,XGB,42,classification,3.81,0.6945778997940975,0.7174603174603175,0.669431279620853,0.7729138166894665,0.7638504181222749,,,
AMES,XGB,123,classification,3.67,0.6822237474262183,0.7115264797507788,0.6593533487297921,0.7726657645466847,0.7507585723385889,,,
AMES,XGB,7,classification,3.91,0.6794783802333562,0.7031150667514304,0.6513545347467609,0.7638121546961326,0.7573130930935459,,,
AMES,GCN,42,classification,41.36,0.6492793411118737,0.6820161792159303,0.6255707762557078,0.7496580027359782,0.7198354644567803,,,
AMES,GCN,123,classification,33.59,0.6410432395332876,0.6765615337043909,0.623006833712984,0.7401894451962111,0.7114522749631551,,,
AMES,GCN,7,classification,50.75,0.6636925188743995,0.6850899742930592,0.640625,0.7361878453038674,0.7214203342051511,,,
AMES,GIN,42,classification,32.7,0.7131091283459162,0.7317073170731707,0.6892382103990327,0.7797537619699042,0.7785515897691,,,
AMES,GIN,123,classification,20.58,0.7240905971173645,0.7276422764227642,0.728629579375848,0.7266576454668471,0.7825922254345066,,,
AMES,GIN,7,classification,21.03,0.7199725463280714,0.7298013245033113,0.7010178117048346,0.761049723756906,0.779295712013748,,,
AMES,GAT,42,classification,84.94,0.6787920384351407,0.7056603773584905,0.6530849825378346,0.7674418604651163,0.7568276974445362,,,
AMES,GAT,123,classification,78.06,0.6719286204529856,0.7137724550898203,0.640171858216971,0.8064952638700947,0.7511863882910355,,,
AMES,GAT,7,classification,64.18,0.6808510638297872,0.7110006215040398,0.6463276836158192,0.7900552486187845,0.7403691783558073,,,
AMES,SAGE,42,classification,33.61,0.7035003431708992,0.7227214377406932,0.6807738814993954,0.7701778385772914,0.773170079102177,,,
AMES,SAGE,123,classification,56.7,0.7165408373369938,0.7255813953488373,0.7127937336814621,0.7388362652232747,0.7807320741346621,,,
AMES,SAGE,7,classification,34.46,0.7021276595744681,0.7297633872976339,0.6643990929705216,0.8093922651933702,0.767386732794163,,,
AMES,GINE,42,classification,18.46,0.6767330130404942,0.6455981941309256,0.717391304347826,0.5868673050615595,0.7368863363142681,,,
AMES,GINE,123,classification,18.81,0.7158544955387783,0.7063829787234043,0.7421758569299552,0.6738836265223275,0.7664426443925956,,,
AMES,GINE,7,classification,19.58,0.6925188743994509,0.7210460772104608,0.6564625850340136,0.7997237569060773,0.7700379881362447,,,
AMES,ChemBERTa,42,classification,650.51,0.641729581331503,0.6896551724137931,0.6098843322818086,0.7934336525307798,0.7171842790546932,,,
AMES,ChemBERTa,123,classification,637.73,0.6293754289636239,0.686411149825784,0.6012207527975585,0.7997293640054127,0.6999596684520601,,,
AMES,ChemBERTa,7,classification,643.63,0.6472203157172272,0.6965761511216056,0.6082474226804123,0.8149171270718232,0.707155939791819,,,
hERG_Karim,RF,42,classification,10.63,0.7167286245353159,0.6892332789559543,0.649500384319754,0.7341442224152911,0.7940559639920988,,,
hERG_Karim,RF,123,classification,10.57,0.724907063197026,0.6972176759410802,0.660977501939488,0.7376623376623377,0.7951565915083831,,,
hERG_Karim,RF,7,classification,10.52,0.7219330855018588,0.6914191419141914,0.6486068111455109,0.7402826855123675,0.8057489669187188,,,
hERG_Karim,XGB,42,classification,8.68,0.7044609665427509,0.6772228989037758,0.635670731707317,0.7245873153779322,0.7827190978379113,,,
hERG_Karim,XGB,123,classification,8.9,0.7174721189591078,0.6915584415584416,0.6508785332314744,0.7376623376623377,0.7970083336858582,,,
hERG_Karim,XGB,7,classification,8.86,0.7171003717472119,0.6902726902726902,0.64,0.7491166077738516,0.8027727629424333,,,
