dataset,method,mean,std,count
AMES,ChemBERTa,0.7080999624328573,0.008651022290063724,3
AMES,GAT,0.7494610880304596,0.008363803464355815,3
AMES,GCN,0.7175693578750288,0.005356489572740552,3
AMES,GIN,0.7801465090724515,0.0021504827066179373,3
AMES,GINE,0.7577889896143694,0.01819127016997238,3
AMES,RF,0.7924039354817228,0.0024606477634863716,3
AMES,SAGE,0.7737629620103341,0.006692396168839442,3
AMES,XGB,0.7573073611848032,0.006545924774013033,3
ClinTox,ChemBERTa,0.6248107975762575,0.03958201371201216,3
ClinTox,GAT,0.7450382146779816,0.03361462411242519,3
ClinTox,GCN,0.6904832920369667,0.09847851288235437,3
ClinTox,GIN,0.8202658318559645,0.012579010762000187,3
ClinTox,GINE,0.8102966371165209,0.028228117814895776,3
ClinTox,RF,0.7333908129623148,0.0029118553863032863,3
ClinTox,SAGE,0.8152339484290572,0.020681790596339435,3
ClinTox,XGB,0.7999611439163985,0.031022216601991594,3
DILI,ChemBERTa,0.7010287064425086,0.03643503243766144,3
DILI,GAT,0.8362416173197506,0.03287690538482713,3
DILI,GCN,0.8452929991302547,0.0340829262196647,3
DILI,GIN,0.8702178467795205,0.03331775622520463,3
DILI,GINE,0.8604061762096533,0.0422909443733557,3
DILI,RF,0.826704423837224,0.05653838100430408,3
DILI,SAGE,0.8398595356256647,0.026813444314904986,3
DILI,XGB,0.8145967536121556,0.04642679100903346,3
LD50_Zhu,GAT,-0.01967962582906087,0.03727265696278884,3
LD50_Zhu,GCN,-0.07334832350413005,0.02534225535055208,3
LD50_Zhu,GIN,-0.523195743560791,0.10232314303836965,3
LD50_Zhu,GINE,-0.7548874616622925,0.34823188248860354,3
LD50_Zhu,RF,0.030109513410628803,0.001959555296479288,3
LD50_Zhu,SAGE,-0.009174744288126627,0.03850640744701289,3
LD50_Zhu,XGB,-0.048836350440979004,0.020644127374970206,3
Tox21_NR-AR,GAT,0.6981789568345323,,1
Tox21_NR-AR,GCN,0.6973021582733813,,1
Tox21_NR-AR,GIN,0.7455260791366907,,1
Tox21_NR-AR,GINE,0.7218525179856116,,1
Tox21_NR-AR,RF,0.7371178057553958,,1
Tox21_NR-AR,SAGE,0.7169626798561151,,1
Tox21_NR-AR,XGB,0.6878035071942445,,1
Tox21_NR-AR-LBD,GAT,0.704098921507934,,1
Tox21_NR-AR-LBD,GCN,0.724870483203545,,1
Tox21_NR-AR-LBD,GIN,0.683930142387019,,1
Tox21_NR-AR-LBD,GINE,0.7471082727835522,,1
Tox21_NR-AR-LBD,RF,0.7561663028249325,,1
Tox21_NR-AR-LBD,SAGE,0.7377244143234173,,1
Tox21_NR-AR-LBD,XGB,0.775748590792089,,1
Tox21_NR-AhR,GAT,0.7873173421560518,,1
Tox21_NR-AhR,GCN,0.7848497380755445,,1
Tox21_NR-AhR,GIN,0.8279432037496554,,1
Tox21_NR-AhR,GINE,0.7913840639647092,,1
Tox21_NR-AhR,RF,0.7771022883926109,,1
Tox21_NR-AhR,SAGE,0.8031247128021323,,1
Tox21_NR-AhR,XGB,0.774074074074074,,1
Tox21_NR-Aromatase,GAT,0.611986152396143,,1
Tox21_NR-Aromatase,GCN,0.6335097513231349,,1
Tox21_NR-Aromatase,GIN,0.6448107735808019,,1
Tox21_NR-Aromatase,GINE,0.6801004132530994,,1
Tox21_NR-Aromatase,RF,0.6123849053867904,,1
Tox21_NR-Aromatase,SAGE,0.6544261581961864,,1
Tox21_NR-Aromatase,XGB,0.5943866453998405,,1
Tox21_NR-ER,GAT,0.5796089385474861,,1
Tox21_NR-ER,GCN,0.5836380565430844,,1
Tox21_NR-ER,GIN,0.6520568816658202,,1
Tox21_NR-ER,GINE,0.6699396196602899,,1
Tox21_NR-ER,RF,0.6114299418768693,,1
Tox21_NR-ER,SAGE,0.6121296766548163,,1
Tox21_NR-ER,XGB,0.6312933807347215,,1
Tox21_NR-ER-LBD,GAT,0.6990209606413036,,1
Tox21_NR-ER-LBD,GCN,0.6409750969183257,,1
Tox21_NR-ER-LBD,GIN,0.6813456863131612,,1
Tox21_NR-ER-LBD,GINE,0.6748932255732966,,1
Tox21_NR-ER-LBD,RF,0.6968263355016755,,1
Tox21_NR-ER-LBD,SAGE,0.6703857020829227,,1
Tox21_NR-ER-LBD,XGB,0.7359353439779222,,1
Tox21_NR-PPAR-gamma,GAT,0.663527222675367,,1
Tox21_NR-PPAR-gamma,GCN,0.6477110522022839,,1
Tox21_NR-PPAR-gamma,GIN,0.6405485318107668,,1
Tox21_NR-PPAR-gamma,GINE,0.6972751835236541,,1
Tox21_NR-PPAR-gamma,RF,0.7024367862969004,,1
Tox21_NR-PPAR-gamma,SAGE,0.6531275489396411,,1
Tox21_NR-PPAR-gamma,XGB,0.653637336867863,,1
Tox21_SR-ARE,GAT,0.6398314606741573,,1
Tox21_SR-ARE,GCN,0.6537265917602996,,1
Tox21_SR-ARE,GIN,0.686783187682064,,1
Tox21_SR-ARE,GINE,0.6668143986683313,,1
Tox21_SR-ARE,RF,0.6460528506034124,,1
Tox21_SR-ARE,SAGE,0.6382188930503537,,1
Tox21_SR-ARE,XGB,0.6172846441947565,,1
Tox21_SR-ATAD5,GAT,0.6942564102564103,,1
Tox21_SR-ATAD5,GCN,0.6788034188034189,,1
Tox21_SR-ATAD5,GIN,0.6501880341880342,,1
